"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00009127","MOSMAN PARK, AS","-32.02","115.7692","21.0","2013-07-10",,,,,,,,,,,,,,,"0.37",",,a",,,,,,
"ASN00009127","MOSMAN PARK, AS","-32.02","115.7692","21.0","2013-07-16","    2",",,a",,,,,,,"0.59",",,a",,,,,,,,,,,,
"ASN00009127","MOSMAN PARK, AS","-32.02","115.7692","21.0","2013-07-17",,,,,,,,,,,,,,,"0.59",",,a",,,,,,
"ASN00009127","MOSMAN PARK, AS","-32.02","115.7692","21.0","2013-07-24",,,,,,,,,,,,,,,"0.79",",,a",,,,,,
"ASN00009127","MOSMAN PARK, AS","-32.02","115.7692","21.0","2013-07-25",,,,,,,,,,,,,,,"0.12",",,a",,,,,,
"ASN00009127","MOSMAN PARK, AS","-32.02","115.7692","21.0","2013-08-08",,,,,,,,,,,,,,,"1.40",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-01",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-02",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-03",,,,,,,,,,,,,,,"0.06",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-04",,,,,,,,,,,,,,,"0.01",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-05",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-06",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-07",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-08",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-09",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-10",,,,,,,,,,,,,,,"1.24",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-11",,,,,,,,,,,,,,,"0.28",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-12",,,,,,,,,,,,,,,"0.06",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-13",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-14",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-07-15",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
